Numero Ordem,Operador,Produto,Ocorrência,Data Inicio,Hora Inicio,Data Fim,Hora Fim,Total Horas,Qtd Aprovada,Qtd Rejeitada
6,Thays Castro,Zoo Tycoon 2: Extinct Animals M210,,2021-01-05,10:48:26,2021-01-05,14:39:17,3.847500000090804,303,0
7,Thiago Miura,Home Theater System 7.1 Channel M710 Brown,Preparação de Máquina,2021-01-04,17:19:41,2021-01-04,18:09:29,0.8300000000162981,0,0
7,Luiza Cabral,Home Theater System 7.1 Channel M710 Brown,Controle de Qualidade,2021-01-06,14:59:51,2021-01-06,15:39:44,0.6647222221945412,0,0
7,Thiago Miura,Home Theater System 7.1 Channel M710 Brown,Outros,2021-01-04,15:51:50,2021-01-04,17:02:07,1.1713888889062218,0,0
7,Thiago Miura,Home Theater System 7.1 Channel M710 Brown,,2021-01-09,15:50:33,2021-01-09,17:31:24,1.680833333346527,107,0
7,Thiago Miura,Home Theater System 7.1 Channel M710 Brown,,2021-01-04,16:31:35,2021-01-04,16:46:45,0.252777777670417,107,0
8,Thiago Costa,Home Theater System 7.1 Channel M710 Brown,Preparação de Máquina,2021-01-05,09:12:32,2021-01-05,10:37:24,1.4144444445264526,0,0
8,Andressa Chou,Home Theater System 7.1 Channel M710 Brown,Controle de Qualidade,2021-01-05,10:29:00,2021-01-05,10:48:49,0.3302777779754251,0,0
8,Thiago Costa,Home Theater System 7.1 Channel M710 Brown,,2021-01-03,13:34:19,2021-01-03,14:09:30,0.5863888888852671,108,0
9,Antonio Manhães,Combat Flight Simulator 2 M400,,2021-01-07,13:17:11,2021-01-07,13:35:43,0.30888888897607103,320,0
10,Thays Castro,Home Theater System 2.1 Channel M1210 Black,Preparação de Máquina,2021-01-04,09:07:47,2021-01-04,09:27:49,0.3338888888829388,0,0
10,Luiza Cabral,Home Theater System 2.1 Channel M1210 Black,Controle de Qualidade,2021-01-08,11:12:37,2021-01-08,11:29:21,0.27888888912275434,0,0
10,Thays Castro,Home Theater System 2.1 Channel M1210 Black,,2021-01-05,09:50:41,2021-01-05,10:12:59,0.37166666658595204,203,0
11,Thays Castro,Home Theater System 2.1 Channel M1210 Silver,Preparação de Máquina,2021-01-03,13:13:26,2021-01-03,13:34:04,0.34388888895045966,0,0
11,Luiza Cabral,Home Theater System 2.1 Channel M1210 Silver,Controle de Qualidade,2021-01-05,13:45:50,2021-01-05,14:02:34,0.27888888894813135,0,0
12,Thays Castro,Bicycle Board Games X500,Preparação de Máquina,2021-01-05,09:37:18,2021-01-05,09:54:00,0.278333333437331,0,0
12,Luiza Cabral,Bicycle Board Games X500,Controle de Qualidade,2021-01-05,15:18:43,2021-01-05,15:35:37,0.281666666676756,0,0
12,Thays Castro,Bicycle Board Games X500,,2021-01-03,14:18:32,2021-01-03,15:39:42,1.3527777777635492,355,0
13,Thays Castro,Age of Mythology: The Titans Expansion 2009 E148,Preparação de Máquina,2021-01-04,10:29:25,2021-01-04,10:50:16,0.3475000000325963,0,0
11,Thays Castro,Home Theater System 2.1 Channel M1210 Silver,,2021-01-05,09:10:31,2021-01-05,09:33:55,0.39000000001396984,258,0
13,Luiza Cabral,Age of Mythology: The Titans Expansion 2009 E148,Controle de Qualidade,2021-01-06,11:56:50,2021-01-06,12:14:59,0.30250000016530976,0,0
13,Thays Castro,Age of Mythology: The Titans Expansion 2009 E148,,2021-01-08,14:49:38,2021-01-08,15:17:50,0.47000000020489097,30,0
14,Caio Moraes,Home Theater System 2.1 Channel E212 Silver,Preparação de Máquina,2021-01-07,08:27:01,2021-01-07,08:56:35,0.4927777777193114,0,0
14,Caio Moraes,Home Theater System 2.1 Channel E212 Silver,Falha Operador,2021-01-05,07:45:16,2021-01-05,10:00:00,2.2455555557389744,0,0
14,Luiza Cabral,Home Theater System 2.1 Channel E212 Silver,Controle de Qualidade,2021-01-03,14:25:52,2021-01-03,14:46:00,0.33555555558996275,0,0
14,Caio Moraes,Home Theater System 2.1 Channel E212 Silver,Falha Operador,2021-01-05,10:11:25,2021-01-05,11:01:27,0.8338888889411464,68,9
14,Caio Moraes,Home Theater System 2.1 Channel E212 Silver,Falha Operador,2021-01-07,07:18:12,2021-01-07,09:02:55,1.745277777838055,68,0
15,Andressa Chou,Hand Games men M300 Silver,Controle de Qualidade,2021-01-05,09:27:39,2021-01-05,09:47:47,0.33555555558996275,0,0
15,Caio Moraes,Hand Games men M300 Silver,Falha Operador,2021-01-04,15:01:09,2021-01-04,17:40:44,2.6597222223063,275,0
16,Thays Castro,Wireless Bluetooth Stereo Headphones M402 Red,Preparação de Máquina,2021-01-04,12:42:55,2021-01-04,13:02:53,0.3327777776867151,0,0
16,Luiza Cabral,Wireless Bluetooth Stereo Headphones M402 Red,Controle de Qualidade,2021-01-05,14:48:37,2021-01-05,15:08:39,0.33388888905756176,0,0
16,Thays Castro,Wireless Bluetooth Stereo Headphones M402 Red,,2021-01-06,10:15:19,2021-01-06,10:35:58,0.34416666661854833,391,0
17,Thays Castro,Home Theater System 4.1 Channel M412 Brown,Preparação de Máquina,2021-01-03,16:20:04,2021-01-03,16:40:17,0.33694444462889805,0,0
17,Luiza Cabral,Home Theater System 4.1 Channel M412 Brown,Controle de Qualidade,2021-01-09,07:17:54,2021-01-09,07:37:40,0.32944444444729015,0,0
17,Thays Castro,Home Theater System 4.1 Channel M412 Brown,,2021-01-04,07:11:17,2021-01-04,07:21:51,0.1761111110681668,385,0
18,Thays Castro,Home Theater System 5.1 Channel M512 Silver,Preparação de Máquina,2021-01-08,16:15:45,2021-01-08,16:35:55,0.33611111127538607,0,0
18,Luiza Cabral,Home Theater System 5.1 Channel M512 Silver,Controle de Qualidade,2021-01-03,10:14:53,2021-01-03,10:34:41,0.3299999999580905,0,0
19,Thays Castro,Hand Games for students E400 Red,Preparação de Máquina,2021-01-04,16:19:55,2021-01-04,16:39:43,0.33000000013271347,0,0
18,Thays Castro,Home Theater System 5.1 Channel M512 Silver,,2021-01-09,10:22:13,2021-01-09,10:32:35,0.17277777782874182,376,0
19,Luiza Cabral,Hand Games for students E400 Red,Controle de Qualidade,2021-01-06,07:29:43,2021-01-06,07:49:54,0.33638888894347474,0,0
19,Thays Castro,Hand Games for students E400 Red,,2021-01-05,15:43:38,2021-01-05,19:13:52,3.503888888983056,358,0
20,Thays Castro,8xDVD E140 Black,Preparação de Máquina,2021-01-07,14:58:51,2021-01-07,15:18:36,0.3291666667792015,0,0
20,Thays Castro,8xDVD E140 Black,,2021-01-04,10:42:32,2021-01-04,11:08:12,0.4277777777169831,44,6
20,Luiza Cabral,8xDVD E140 Black,,2021-01-04,15:32:50,2021-01-04,15:38:39,0.09694444440538064,0,0
21,Thays Castro,Rise of Nations2009 E152,Preparação de Máquina,2021-01-09,11:38:59,2021-01-09,11:59:16,0.3380555556504987,0,0
21,Luiza Cabral,Rise of Nations2009 E152,Controle de Qualidade,2021-01-04,15:32:59,2021-01-04,15:52:57,0.3327777776867151,0,0
22,Thays Castro,Home Theater System 5.1 Channel M511 Brown,Preparação de Máquina,2021-01-05,10:43:41,2021-01-05,11:03:44,0.33416666655102745,0,0
21,Thays Castro,Rise of Nations2009 E152,,2021-01-05,10:39:04,2021-01-05,11:29:58,0.8483333334443159,59,0
22,Luiza Cabral,Home Theater System 5.1 Channel M511 Brown,Controle de Qualidade,2021-01-06,09:27:30,2021-01-06,09:46:53,0.3230555556365289,0,0
22,Thays Castro,Home Theater System 5.1 Channel M511 Brown,,2021-01-03,08:01:49,2021-01-03,08:17:05,0.25444444437744096,52,0
23,Mariana Baptista,Racing Madness 2009 E169,Preparação de Máquina,2021-01-07,07:39:48,2021-01-07,08:44:58,1.086111111275386,0,0
23,Luiza Cabral,Racing Madness 2009 E169,Controle de Qualidade,2021-01-04,14:14:12,2021-01-04,14:34:14,0.3338888888829388,0,0
23,Mariana Baptista,Racing Madness 2009 E169,,2021-01-05,15:18:52,2021-01-05,15:54:10,0.5883333332603797,141,0
24,Mariana Baptista,Stereo Bluetooth Headphones New Generation M370 Orange,Preparação de Máquina,2021-01-07,12:25:03,2021-01-07,13:19:49,0.9127777777612209,0,0
24,Andressa Chou,Stereo Bluetooth Headphones New Generation M370 Orange,Controle de Qualidade,2021-01-05,09:31:15,2021-01-05,09:50:55,0.32777777791488916,0,0
24,Mariana Baptista,Stereo Bluetooth Headphones New Generation M370 Orange,,2021-01-05,12:08:30,2021-01-05,12:14:25,0.0986111112870276,345,0
25,Thays Castro,Rise of Nations E112,Preparação de Máquina,2021-01-07,16:25:49,2021-01-07,16:46:07,0.3383333334932104,0,0
25,Luiza Cabral,Rise of Nations E112,Controle de Qualidade,2021-01-04,14:11:54,2021-01-04,14:28:47,0.28138888883404434,0,0
25,Thays Castro,Rise of Nations E112,,2021-01-05,07:37:12,2021-01-05,08:30:55,0.8952777778613381,377,0
15,Caio Moraes,Hand Games men M300 Silver,Falha Operador,2021-01-05,09:23:11,2021-01-05,12:48:13,3.417222222138662,275,0
26,Mariana Miranda,2GB Pulse Smart pen M100 White,Preparação de Máquina,2021-01-03,13:48:52,2021-01-03,14:33:33,0.7447222223854624,0,0
23,Thiago Costa,Racing Madness 2009 E169,Falha Operador,2021-01-03,17:03:50,2021-01-03,21:18:47,4.249166666704696,141,0
27,Thiago Miura,Rise of Nations: Rise of Legends M290,Preparação de Máquina,2021-01-03,11:26:10,2021-01-03,12:11:19,0.752499999885913,0,0
27,Thiago Miura,Rise of Nations: Rise of Legends M290,,2021-01-05,17:15:39,2021-01-05,18:06:10,0.8419444444589317,193,0
27,Andressa Chou,Rise of Nations: Rise of Legends M290,,2021-01-07,08:21:16,2021-01-07,08:31:31,0.17083333327900618,0,0
27,Thiago Miura,Rise of Nations: Rise of Legends M290,,2021-01-04,17:02:33,2021-01-04,19:02:56,2.006388888868969,193,0
28,Thays Castro,Zoo Tycoon 2008 E142,Preparação de Máquina,2021-01-04,10:02:30,2021-01-04,10:22:36,0.33499999990453944,0,0
28,Luiza Cabral,Zoo Tycoon 2008 E142,Controle de Qualidade,2021-01-03,08:15:22,2021-01-03,08:32:34,0.28666666679782793,0,0
28,Thays Castro,Zoo Tycoon 2008 E142,,2021-01-04,10:31:26,2021-01-04,10:44:51,0.22361111117061228,105,0
29,Chan Santos,180 CFM Vertical Discharge Fan X450 Blue,Preparação de Máquina,2021-01-09,08:40:42,2021-01-09,09:05:55,0.4202777778846212,0,0
29,Luiza Cabral,180 CFM Vertical Discharge Fan X450 Blue,Controle de Qualidade,2021-01-05,17:59:51,2021-01-05,18:17:26,0.2930555556085892,0,0
29,Chan Santos,180 CFM Vertical Discharge Fan X450 Blue,,2021-01-08,13:44:07,2021-01-08,15:56:51,2.2122222222969867,226,0
30,Thays Castro,Coffee Maker 12C M1000 Grey,Preparação de Máquina,2021-01-08,16:28:08,2021-01-08,16:48:24,0.33777777798241004,0,0
30,Luiza Cabral,Coffee Maker 12C M1000 Grey,Controle de Qualidade,2021-01-05,16:56:38,2021-01-05,17:13:38,0.28333333338378,0,0
30,Thays Castro,Coffee Maker 12C M1000 Grey,,2021-01-04,12:48:49,2021-01-04,12:57:39,0.14722222206182778,33,0
31,Thays Castro,Rise of Nations: Rise of Legends M290,Preparação de Máquina,2021-01-03,14:23:51,2021-01-03,14:44:01,0.33611111127538607,0,0
31,Luiza Cabral,Rise of Nations: Rise of Legends M290,Controle de Qualidade,2021-01-03,10:28:34,2021-01-03,13:06:22,2.629999999946449,0,0
31,Thays Castro,Rise of Nations: Rise of Legends M290,,2021-01-04,10:32:27,2021-01-04,12:56:16,2.396944444393739,335,0
28,Thays Castro,Zoo Tycoon 2008 E142,,2021-01-04,11:48:20,2021-01-04,11:55:44,0.12333333335118368,105,0
29,Chan Santos,180 CFM Vertical Discharge Fan X450 Blue,,2021-01-03,08:12:03,2021-01-03,08:19:25,0.12277777766576037,226,0
32,Thays Castro,Home Theater System 2.1 Channel E1220 Brown,Preparação de Máquina,2021-01-03,17:52:48,2021-01-03,18:12:43,0.33194444433320314,0,0
32,Luiza Cabral,Home Theater System 2.1 Channel E1220 Brown,Controle de Qualidade,2021-01-04,16:32:27,2021-01-04,16:50:18,0.2975000000442378,0,0
33,Thays Castro,Wireless Bluetooth Stereo Headphones M270 Black,Preparação de Máquina,2021-01-05,15:47:40,2021-01-05,16:07:36,0.3322222223505378,0,0
33,Luiza Cabral,Wireless Bluetooth Stereo Headphones M270 Black,Controle de Qualidade,2021-01-04,08:13:55,2021-01-04,08:30:40,0.27916666661622,0,0
32,Thays Castro,Home Theater System 2.1 Channel E1220 Brown,,2021-01-04,16:39:13,2021-01-04,17:01:56,0.3786111112567596,189,0
33,Thays Castro,Wireless Bluetooth Stereo Headphones M270 Black,,2021-01-09,07:46:08,2021-01-09,08:14:32,0.47333333326969296,314,0
34,Mariana Miranda,Home Theater System 2.1 Channel E211 Silver,Preparação de Máquina,2021-01-04,15:21:27,2021-01-04,16:01:41,0.6705555554945022,0,0
34,Andressa Chou,Home Theater System 2.1 Channel E211 Silver,Controle de Qualidade,2021-01-06,16:09:59,2021-01-06,16:30:16,0.3380555556504987,0,0
35,Maria Moita,Home Theater System 5.1 Channel M515 Black,Preparação de Máquina,2021-01-08,14:13:03,2021-01-08,15:13:03,1.0000000001164153,0,0
35,Andressa Chou,Home Theater System 5.1 Channel M515 Black,Controle de Qualidade,2021-01-04,13:50:53,2021-01-04,14:10:27,0.3261111110332422,0,0
35,Maria Moita,Home Theater System 5.1 Channel M515 Black,,2021-01-07,15:52:25,2021-01-07,18:32:54,2.674722222145647,235,0
30,Thays Castro,Coffee Maker 12C M1000 Grey,,2021-01-05,15:48:32,2021-01-05,15:51:08,0.04333333350950852,33,0
36,Caio Moraes,Hand Games women M400 Black,Preparação de Máquina,2021-01-05,07:06:14,2021-01-05,07:36:03,0.49694444448687136,0,0
36,Andressa Chou,Hand Games women M400 Black,Controle de Qualidade,2021-01-03,12:51:42,2021-01-03,13:11:29,0.3297222222900018,0,0
36,Caio Moraes,Hand Games women M400 Black,,2021-01-05,07:30:26,2021-01-05,08:05:54,0.5911111109890044,25,0
26,Andressa Chou,2GB Pulse Smart pen M100 White,Controle de Qualidade,2021-01-03,13:21:13,2021-01-03,13:56:28,0.5875000000814907,0,0
26,Mariana Miranda,2GB Pulse Smart pen M100 White,Peça Irregular,2021-01-05,07:07:15,2021-01-05,09:07:06,1.9975000001722947,49,0
37,Mariana Miranda,Hand Games men M300 Black,Preparação de Máquina,2021-01-09,17:39:16,2021-01-09,11:08:42,17.490555555559695,0,0
38,Thiago Miura,Home Theater System 2.1 Channel M1210 White,Preparação de Máquina,2021-01-05,17:57:24,2021-01-05,19:02:27,1.0841666665510274,0,0
38,Andressa Chou,Home Theater System 2.1 Channel M1210 White,Controle de Qualidade,2021-01-05,14:10:19,2021-01-05,14:29:54,0.32638888905057684,0,0
38,Thiago Miura,Home Theater System 2.1 Channel M1210 White,,2021-01-07,12:23:37,2021-01-07,13:29:09,1.0922222220688127,57,7
23,Thiago Costa,Racing Madness 2009 E169,Falha Operador,2021-01-06,09:26:04,2021-01-06,13:25:46,3.9949999999953434,141,0
23,Marcos Nucci,Racing Madness 2009 E169,,2021-01-03,11:58:34,2021-01-03,12:44:03,0.7580555555177853,141,0
23,Marcos Nucci,Racing Madness 2009 E169,,2021-01-03,10:55:29,2021-01-03,14:56:01,4.00888888881309,141,0
7,Thiago Costa,Home Theater System 7.1 Channel M710 Brown,,2021-01-04,13:22:31,2021-01-04,14:08:23,0.7644444445031695,107,0
7,Thiago Costa,Home Theater System 7.1 Channel M710 Brown,,2021-01-05,13:10:42,2021-01-05,17:11:32,4.0138888887595385,107,0
39,Thays Castro,Hand Games women M40 Silver,,2021-01-09,09:18:09,2021-01-09,10:31:33,1.223333333269693,132,0
40,Thiago Miura,Home Theater System 2.1 Channel E212 Black,Preparação de Máquina,2021-01-04,16:47:08,2021-01-04,17:31:48,0.7444444445427507,0,0
40,Andressa Chou,Home Theater System 2.1 Channel E212 Black,Controle de Qualidade,2021-01-06,12:27:13,2021-01-06,12:47:32,0.33861111116129905,0,0
40,Thiago Miura,Home Theater System 2.1 Channel E212 Black,,2021-01-08,16:44:50,2021-01-08,17:10:04,0.42055555555270985,153,0
40,Thiago Miura,Home Theater System 2.1 Channel E212 Black,,2021-01-04,17:37:15,2021-01-04,20:07:48,2.5091666666558012,153,0
40,Marcos Nucci,Home Theater System 2.1 Channel E212 Black,,2021-01-07,09:51:16,2021-01-07,11:22:08,1.5144444445031695,153,0
41,Thiago Miura,Home Theater System 5.1 Channel M516 Black,,2021-01-08,13:15:27,2021-01-08,14:15:43,1.004444444377441,387,0
42,Thays Castro,Flight Simulator X 2008 E133,Preparação de Máquina,2021-01-03,16:58:05,2021-01-03,17:18:00,0.3319444445078261,0,0
42,Luiza Cabral,Flight Simulator X 2008 E133,Controle de Qualidade,2021-01-09,16:24:49,2021-01-09,16:41:06,0.27138888876652345,0,0
42,Thays Castro,Flight Simulator X 2008 E133,,2021-01-09,16:56:56,2021-01-09,17:50:01,0.8847222222830169,40,0
43,Luiza Cabral,Train Simulator 2009 E174,Controle de Qualidade,2021-01-06,11:51:22,2021-01-06,04:52:58,17.026666666846722,0,0
43,Thays Castro,Train Simulator 2009 E174,,2021-01-09,16:53:20,2021-01-09,17:06:50,0.2250000000349246,274,0
39,Thays Castro,Hand Games women M40 Silver,Preparação de Máquina,2021-01-04,15:07:29,2021-01-04,15:27:34,0.33472222241107374,0,0
39,Luiza Cabral,Hand Games women M40 Silver,Controle de Qualidade,2021-01-06,09:55:26,2021-01-06,10:12:00,0.27611111104488373,0,0
39,Thays Castro,Hand Games women M40 Silver,,2021-01-04,07:28:25,2021-01-04,08:41:33,1.2188888890086673,132,0
28,Luiza Cabral,Zoo Tycoon 2008 E142,Preparação de Máquina,2021-01-07,12:21:27,2021-01-07,12:43:24,0.3658333334606141,0,0
28,Thays Castro,Zoo Tycoon 2008 E142,,2021-01-05,13:57:04,2021-01-05,14:04:37,0.12583333341171965,105,0
44,Thays Castro,Hand Games for kids E300 Red,Preparação de Máquina,2021-01-07,11:23:51,2021-01-07,03:23:27,15.99333333328832,0,0
44,Luiza Cabral,Hand Games for kids E300 Red,Preparação de Máquina,2021-01-09,09:42:03,2021-01-09,10:08:55,0.4477777778520249,0,0
44,Luiza Cabral,Hand Games for kids E300 Red,Controle de Qualidade,2021-01-10,11:28:02,2021-01-10,11:44:58,0.2822222223621793,0,0
44,Thays Castro,Hand Games for kids E300 Red,,2021-01-08,16:36:29,2021-01-08,16:48:49,0.20555555558530614,56,0
45,Thays Castro,Hand Games for kids E30 Yellow,Preparação de Máquina,2021-01-09,16:15:19,2021-01-09,16:35:20,0.3336111110402271,0,0
45,Luiza Cabral,Hand Games for kids E30 Yellow,Preparação de Máquina,2021-01-05,12:43:55,2021-01-05,13:21:55,0.6333333333022892,0,0
45,Luiza Cabral,Hand Games for kids E30 Yellow,Controle de Qualidade,2021-01-06,08:47:28,2021-01-06,09:04:41,0.2869444446405396,0,0
45,Thays Castro,Hand Games for kids E30 Yellow,,2021-01-09,17:30:55,2021-01-09,17:54:28,0.3924999998998828,327,0
46,Thays Castro,DVD Recorder L200 Black,Preparação de Máquina,2021-01-06,17:34:22,2021-01-06,17:54:18,0.3322222221759148,0,0
46,Luiza Cabral,DVD Recorder L200 Black,Controle de Qualidade,2021-01-04,09:42:37,2021-01-04,09:59:18,0.27805555576924235,0,0
46,Thays Castro,DVD Recorder L200 Black,,2021-01-07,09:17:17,2021-01-07,09:41:12,0.3986111110425554,350,0
47,Thays Castro,Wireless Transmitter and Bluetooth Headphones M150 Green,,2021-01-04,14:33:48,2021-01-04,15:02:39,0.4808333332766779,382,0
48,Marcos Nucci,Age of Empires Expansion: The Rise of Rome X900,Preparação de Máquina,2021-01-09,12:05:11,2021-01-09,12:24:55,0.3288888891111128,0,0
48,Luiza Cabral,Age of Empires Expansion: The Rise of Rome X900,Controle de Qualidade,2021-01-06,09:57:36,2021-01-06,10:17:33,0.33250000001862645,0,0
48,Marcos Nucci,Age of Empires Expansion: The Rise of Rome X900,Falha Operador,2021-01-04,07:52:54,2021-01-04,09:27:35,1.5780555556411855,313,0
37,Mariana Miranda,Hand Games men M300 Black,,2021-01-09,07:30:43,2021-01-09,07:46:37,0.2649999999557622,251,0
49,Thiago Miura,Rise of Nations E112,Preparação de Máquina,2021-01-09,17:06:26,2021-01-09,18:01:04,0.9105555557180196,0,0
49,Thiago Miura,Rise of Nations E112,Falta de acessório,2021-01-09,14:36:23,2021-01-09,15:21:04,0.7447222222108394,0,0
49,Luiza Cabral,Rise of Nations E112,Controle de Qualidade,2021-01-09,10:14:01,2021-01-09,10:49:01,0.5833333334885538,0,0
50,Caio Moraes,MechCollection E116,Preparação de Máquina,2021-01-05,09:17:08,2021-01-05,09:57:09,0.6669444444123656,0,0
50,Luiza Cabral,MechCollection E116,Controle de Qualidade,2021-01-10,12:46:57,2021-01-10,13:06:35,0.32722222222946584,0,0
50,Caio Moraes,MechCollection E116,Falha Operador,2021-01-05,09:27:56,2021-01-05,10:53:01,1.4180555557832122,247,0
47,Thays Castro,Wireless Transmitter and Bluetooth Headphones M150 Green,Preparação de Máquina,2021-01-05,10:31:18,2021-01-05,05:35:41,19.07305555563653,0,0
47,Luiza Cabral,Wireless Transmitter and Bluetooth Headphones M150 Green,Controle de Qualidade,2021-01-06,10:00:37,2021-01-06,01:00:22,14.995833333407063,0,0
47,Thays Castro,Wireless Transmitter and Bluetooth Headphones M150 Green,,2021-01-10,16:33:45,2021-01-10,07:47:07,15.222777777642477,382,0
51,Andressa Chou,Home Theater System 7.1 Channel M710 Brown,Controle de Qualidade,2021-01-06,10:09:24,2021-01-06,10:28:59,0.32638888887595385,0,0
51,Thiago Costa,Home Theater System 7.1 Channel M710 Brown,,2021-01-07,16:31:44,2021-01-07,19:12:16,2.675555555673782,237,0
51,Marcos Nucci,Home Theater System 7.1 Channel M710 Brown,,2021-01-07,14:21:50,2021-01-07,15:22:33,1.0119444443844259,237,30
51,Thiago Costa,Home Theater System 7.1 Channel M710 Brown,,2021-01-07,10:37:12,2021-01-07,14:38:07,4.015277777798474,237,0
37,Andressa Chou,Hand Games men M300 Black,Controle de Qualidade,2021-01-09,15:30:23,2021-01-09,15:50:29,0.3350000000791624,0,0
37,Mariana Miranda,Hand Games men M300 Black,Manutenção Elétrica,2021-01-04,13:01:29,2021-01-04,14:16:24,1.2486111110192724,0,0
37,Mariana Miranda,Hand Games men M300 Black,,2021-01-09,17:20:15,2021-01-09,18:50:25,1.5027777777286246,251,0
37,Mariana Miranda,Hand Games men M300 Black,Peça Irregular,2021-01-06,17:59:34,2021-01-06,20:39:12,2.660555555659812,251,31
37,Mariana Miranda,Hand Games men M300 Black,Manutenção Elétrica,2021-01-05,08:54:40,2021-01-05,09:24:34,0.4983333333511837,0,0
37,Mariana Miranda,Hand Games men M300 Black,,2021-01-08,14:34:22,2021-01-08,14:59:34,0.4200000002165325,251,0
41,Andressa Chou,Home Theater System 5.1 Channel M516 Black,Controle de Qualidade,2021-01-09,08:59:25,2021-01-09,09:19:43,0.3383333333185874,0,0
41,Thiago Miura,Home Theater System 5.1 Channel M516 Black,Manutenção Mecânica,2021-01-08,09:05:11,2021-01-08,10:14:58,1.163055555545725,0,0
38,Thiago Miura,Home Theater System 2.1 Channel M1210 White,,2021-01-03,12:12:06,2021-01-03,13:02:43,0.8436111111659557,57,0
52,Caio Moraes,Bicycle Casino Games X700,Preparação de Máquina,2021-01-06,08:26:27,2021-01-06,09:21:19,0.9144444444682449,0,0
52,Andressa Chou,Bicycle Casino Games X700,Controle de Qualidade,2021-01-04,08:22:34,2021-01-04,09:42:10,1.3266666668350808,0,0
52,Caio Moraes,Bicycle Casino Games X700,Falha Operador,2021-01-05,14:52:05,2021-01-05,15:46:52,0.9130555554293096,347,0
23,Marcos Nucci,Racing Madness 2009 E169,Falta de acessório,2021-01-05,14:06:52,2021-01-05,14:51:55,0.750833333353512,141,0
23,Marcos Nucci,Racing Madness 2009 E169,,2021-01-07,12:56:01,2021-01-07,15:26:43,2.511666666541714,141,0
7,Thiago Costa,Home Theater System 7.1 Channel M710 Brown,,2021-01-04,07:25:24,2021-01-04,09:41:11,2.263055555638857,107,0
40,Pedro Macckione,Home Theater System 2.1 Channel E212 Black,,2021-01-07,13:25:32,2021-01-07,13:45:52,0.3388888890040107,153,0
53,Mariana Miranda,Home Theater System 2.1 Channel E1220 Black,Preparação de Máquina,2021-01-05,08:21:50,2021-01-05,05:51:46,45.498888888861984,0,0
54,Thays Castro,Home Theater System 4.1 Channel M1400 White,,2021-01-04,07:24:58,2021-01-04,07:28:50,0.06444444449152797,97,0
55,Pedro Macckione,Zoo Tycoon 2: Zookeeper Collection M260,Preparação de Máquina,2021-01-06,16:50:18,2021-01-06,17:24:52,0.5761111111496575,0,0
55,Pedro Macckione,Zoo Tycoon 2: Zookeeper Collection M260,Falha Operador,2021-01-06,12:02:44,2021-01-06,12:27:54,0.4194444445311092,0,0
55,Luiza Cabral,Zoo Tycoon 2: Zookeeper Collection M260,Controle de Qualidade,2021-01-04,11:57:07,2021-01-04,12:16:58,0.3308333333116025,0,0
